#:x t E B
33 0.15 0.0 0.0
34 0.15 0.0 0.0
35 0.15 0.0 0.0
36 0.15 0.0 0.0
37 0.15 0.0 0.0
38 0.15 0.0 0.0
39 0.15 0.0 0.0
40 0.15 0.0 0.0
41 0.15 0.0 0.0
42 0.15 0.0 0.0
43 0.15 0.0 0.0
44 0.15 0.0 0.0
45 0.15 0.0 0.0
46 0.15 0.0 0.0
47 0.15 0.0 0.0
48 0.15 0.0 0.0
49 0.15 0.0 0.0

0 0.2 -0.691055631785 0.473432646375
1 0.2 -0.233163543304 0.108207358191
2 0.2 -0.0342766549588 0.0119100332763
3 0.2 -0.00265370998295 0.000744801453758
4 0.2 -0.00012395286047 2.95130227119e-05
5 0.2 -3.81277444306e-06 7.95914816871e-07
6 0.2 -8.18595738629e-08 1.53341662205e-08
7 0.2 -1.27664360903e-09 2.1830744687e-10
8 0.2 -1.48698535133e-11 2.35175927943e-12
9 0.2 -1.31852935744e-13 1.94857922113e-14
10 0.2 -9.01213248145e-16 1.25479197834e-16
11 0.2 -4.78055441914e-18 6.31333805489e-19
12 0.2 -1.97108403969e-20 2.48282911484e-21
13 0.2 -6.29154039906e-23 7.59448864903e-24
14 0.2 -1.53818216526e-25 1.78641996178e-26
15 0.2 -2.82453365848e-28 3.16698996632e-29
16 0.2 -3.76772665315e-31 4.09066984265e-32
17 0.2 -3.44516360325e-34 3.63134213381e-35
18 0.2 -1.93057038703e-37 1.98004976461e-38
19 0.2 -4.99791692707e-41 4.99791692707e-42
20 0.2 0.0 0.0
21 0.2 0.0 0.0
22 0.2 0.0 0.0
23 0.2 0.0 0.0
24 0.2 0.0 0.0
25 0.2 0.0 0.0
26 0.2 0.0 0.0
27 0.2 0.0 0.0
28 0.2 0.0 0.0
29 0.2 0.0 0.0
30 0.2 0.0 0.0
31 0.2 0.0 0.0
32 0.2 0.0 0.0
33 0.2 0.0 0.0
34 0.2 0.0 0.0
35 0.2 0.0 0.0
36 0.2 0.0 0.0
37 0.2 0.0 0.0
38 0.2 0.0 0.0
39 0.2 0.0 0.0
40 0.2 0.0 0.0
41 0.2 0.0 0.0
42 0.2 0.0 0.0
43 0.2 0.0 0.0
44 0.2 0.0 0.0
45 0.2 0.0 0.0
46 0.2 0.0 0.0
47 0.2 0.0 0.0
48 0.2 0.0 0.0
49 0.2 0.0 0.0

0 0.25 -0.863897533982 0.697712990133
1 0.25 -0.436146698905 0.248263218798
2 0.25 -0.102644863406 0.0435874165027
3 0.25 -0.0128136364782 0.00435573100308
4 0.25 -0.000966535799629 0.000276315656053
5 0.25 -4.82076861407e-05 1.19898561474e-05
6 0.25 -1.69122377299e-06 3.74868478606e-07
7 0.25 -4.35944771222e-08 8.76668895934e-09
8 0.25 -8.52285628462e-10 1.57630438132e-10
9 0.25 -1.29378978611e-11 2.2244694049e-12
10 0.25 -1.55193666672e-13 2.50200658277e-14
11 0.25 -1.49019396438e-15 2.26869183957e-16
12 0.25 -1.15612348541e-17 1.67188514962e-18
13 0.25 -7.29181408951e-20 1.00660302702e-20
14 0.25 -3.75130280479e-22 4.96431547661e-23
15 0.25 -1.5750259769e-24 2.00539156429e-25
16 0.25 -5.38432394619e-27 6.61681565675e-28
17 0.25 -1.49021036568e-29 1.772445746e-30
18 0.25 -3.30662244632e-32 3.81571607448e-33
19 0.25 -5.79277992101e-35 6.49954776739e-36
20 0.25 -7.82666429253e-38 8.55488723513e-39
21 0.25 -7.86273452467e-41 8.38691863313e-42
22 0.25 -5.52737953594e-44 5.76254265031e-45
23 0.25 -2.42536416281e-47 2.47484354039e-48
24 0.25 -4.99791692707e-51 4.99791692707e-52
25 0.25 0.0 0.0
26 0.25 0.0 0.0
27 0.25 0.0 0.0
28 0.25 0.0 0.0
29 0.25 0.0 0.0
30 0.25 0.0 0.0
31 0.25 0.0 0.0
32 0.25 0.0 0.0
33 0.25 0.0 0.0
34 0.25 0.0 0.0
35 0.25 0.0 0.0
36 0.25 0.0 0.0
37 0.25 0.0 0.0
38 0.25 0.0 0.0
39 0.25 0.0 0.0
40 0.25 0.0 0.0
41 0.25 0.0 0.0
42 0.25 0.0 0.0
43 0.25 0.0 0.0
44 0.25 0.0 0.0
45 0.25 0.0 0.0
46 0.25 0.0 0.0
47 0.25 0.0 0.0
48 0.25 0.0 0.0
49 0.25 0.0 0.0

0 0.3 -0.967915419824 0.877906634566
1 0.3 -0.661574535064 0.447020360222
2 0.3 -0.230372655844 0.116360451987
3 0.3 -0.042946952402 0.0172417813584
4 0.3 -0.00482604893241 0.00161737085383
5 0.3 -0.000358074142303 0.00010371446625
6 0.3 -1.8708292761e-05 4.80151909954e-06
7 0.3 -7.20837057551e-07 1.66991116937e-07
8 0.3 -2.11924585211e-08 4.494681539e-09
9 0.3 -4.87814101268e-10 9.57787546572e-11
10 0.3 -8.96742138914e-12 1.64463403682e-12
11 0.3 -1.33697584097e-13 2.30727874759e-14
12 0.3 -1.63627682257e-15 2.67339233662e-16
13 0.3 -1.6593212926e-17 2.57992015609e-18
14 0.3 -1.40422796171e-19 2.08687350022e-20
15 0.3 -9.9686048945e-22 1.42142918574e-22
16 0.3 -5.95694152299e-24 8.17676649187e-25
17 0.3 -3.00189171222e-26 3.97812836974e-27
18 0.3 -1.27594416956e-28 1.63663364396e-29
19 0.3 -4.56742346057e-31 5.68346742094e-32
20 0.3 -1.37222227129e-33 1.65985286347e-34
21 0.3 -3.44055223151e-36 4.0529079559e-37
22 0.3 -7.13848308893e-39 8.2025816936e-40
23 0.3 -1.21081689286e-41 1.35917136274e-42
24 0.3 -1.6501100763e-44 1.8119488805e-45
25 0.3 -1.76187786848e-47 1.89487517039e-48
26 0.3 -1.41883779066e-50 1.4962297672e-51
27 0.3 -8.09944130666e-54 8.38358900482e-55
28 0.3 -2.92015793859e-57 2.96963731617e-58
29 0.3 -4.99791692707e-61 4.99791692707e-62
30 0.3 0.0 0.0
31 0.3 0.0 0.0
32 0.3 0.0 0.0
33 0.3 0.0 0.0
34 0.3 0.0 0.0
35 0.3 0.0 0.0
36 0.3 0.0 0.0
37 0.3 0.0 0.0
38 0.3 0.0 0.0
39 0.3 0.0 0.0
40 0.3 0.0 0.0
41 0.3 0.0 0.0
42 0.3 0.0 0.0
43 0.3 0.0 0.0
44 0.3 0.0 0.0
45 0.3 0.0 0.0
46 0.3 0.0 0.0
47 0.3 0.0 0.0
48 0.3 0.0 0.0
49 0.3 0.0 0.0

0 0.35 -1.00183635779 0.983149723588
1 0.35 -0.85681204893 0.669470331523
2 0.35 -0.416767648928 0.245634533498
3 0.35 -0.110289015153 0.0513815233856
4 0.35 -0.0175235658777 0.00676870564299
5 0.35 -0.00182999269544 0.000607225033834
6 0.35 -0.000134250892815 3.92678696373e-05
7 0.35 -7.26181991802e-06 1.90861534718e-06
8 0.35 -3.00231625336e-07 7.19549081992e-08
9 0.35 -9.75107962721e-09 2.1557573154e-09
10 0.35 -2.54154958745e-10 5.2313938553e-11
11 0.35 -5.40661722976e-12 1.04403810397e-12
12 0.35 -9.51490478797e-14 1.73466115748e-14
13 0.35 -1.40045234229e-15 2.42335549262e-16
14 0.35 -1.73916051546e-17 2.86950960543e-18
15 0.35 -1.83523071012e-19 2.89859013834e-20
16 0.35 -1.65484763908e-21 2.51055601877e-22
17 0.35 -1.28063016483e-23 1.87178766741e-24
18 0.35 -8.53237972272e-26 1.20469493588e-26
19 0.35 -4.9047172894e-28 6.7053277128e-29
20 0.35 -2.43512554601e-30 3.23029976365e-31
21 0.35 -1.04425265284e-32 1.34668409965e-33
22 0.35 -3.8637186778e-35 4.85229618071e-36
23 0.35 -1.23067027957e-37 1.50743474229e-38
24 0.35 -3.36236251748e-40 4.0226190156e-41
25 0.35 -7.83867801592e-43 9.17136457468e-44
26 0.35 -1.54808836171e-45 1.77347795969e-46
27 0.35 -2.56469508879e-48 2.87988514505e-49
28 0.35 -3.51694081574e-51 3.87478157452e-52
29 0.35 -3.91916836075e-54 4.2405192981e-55
30 0.35 -3.45767553102e-57 3.67724716382e-58
31 0.35 -2.32296041786e-60 2.43017543388e-61
32 0.35 -1.11613489154e-63 1.14944811974e-64
33 0.35 -3.41495171437e-67 3.46443109195e-68
34 0.35 -4.99791692707e-71 4.99791692707e-72
35 0.35 0.0 0.0
36 0.35 0.0 0.0
37 0.35 0.0 0.0
38 0.35 0.0 0.0
39 0.35 0.0 0.0
40 0.35 0.0 0.0
41 0.35 0.0 0.0
42 0.35 0.0 0.0
43 0.35 0.0 0.0
44 0.35 0.0 0.0
45 0.35 0.0 0.0
46 0.35 0.0 0.0
47 0.35 0.0 0.0
48 0.35 0.0 0.0
49 0.35 0.0 0.0

0 0.4 -0.974056181505 1.00909556183
1 0.4 -0.980634527699 0.865002562445
2 0.4 -0.634845089266 0.430238376906
3 0.4 -0.229981017478 0.12276545492
4 0.4 -0.0498460001306 0.0219189329201
5 0.4 -0.00705398308534 0.00264902720661
6 0.4 -0.000697927282937 0.000229891424145
7 0.4 -5.07825209664e-05 1.49674039379e-05
8 0.4 -2.82196932974e-06 7.55664203942e-07
9 0.4 -1.23271683651e-07 3.03516228317e-08
10 0.4 -4.32958083402e-09 9.89640215239e-10
11 0.4 -1.2448074952e-10 2.66231098408e-11
12 0.4 -2.97261976637e-12 5.98768506341e-13
13 0.4 -5.96642352418e-14 1.13812588713e-14
14 0.4 -1.01642675972e-15 1.84481314611e-16
15 0.4 -1.4816417929e-17 2.56910802743e-18
16 0.4 -1.86049863766e-19 3.09290040054e-20
17 0.4 -2.02366695592e-21 3.23533831321e-22
18 0.4 -1.91530359332e-23 2.95292553105e-24
19 0.4 -1.58308048303e-25 2.35944864747e-26
20 0.4 -1.14594258819e-27 1.65466369408e-28
21 0.4 -7.27981249239e-30 1.02036945042e-30
22 0.4 -4.06413813591e-32 5.53942490933e-33
23 0.4 -1.99525043055e-34 2.64880293157e-35
24 0.4 -8.61369558411e-37 1.11540445931e-37
25 0.4 -3.26743061068e-39 4.13256455022e-40
26 0.4 -1.08733542053e-41 1.34486491038e-42
27 0.4 -3.16658469531e-44 3.83439341747e-45
28 0.4 -8.04221486709e-47 9.54381696815e-48
29 0.4 -1.77286883314e-49 2.0638600359e-50
30 0.4 -3.37136325675e-52 3.85347148086e-53
31 0.4 -5.4859320932e-55 6.16166695336e-56
32 0.4 -7.55808944107e-58 8.34822959367e-59
33 0.4 -8.69351081836e-61 9.4498078418e-62
34 0.4 -8.19110608877e-64 8.76811334109e-65
35 0.4 -6.15565705497e-67 6.49300332093e-68
36 0.4 -3.54713607202e-70 3.68902360133e-71
37 0.4 -1.47131023622e-73 1.50952192279e-74
38 0.4 -3.90974549015e-77 3.95922486773e-78
39 0.4 -4.99791692707e-81 4.99791692707e-82
40 0.4 0.0 0.0
41 0.4 0.0 0.0
42 0.4 0.0 0.0
43 0.4 0.0 0.0
44 0.4 0.0 0.0
45 0.4 0.0 0.0
46 0.4 0.0 0.0
47 0.4 0.0 0.0
48 0.4 0.0 0.0
49 0.4 0.0 0.0

0 0.45 -0.892676592393 0.968696668445
1 0.45 -1.01849615233 0.990039234411
2 0.45 -0.83810920764 0.64500365874
3 0.45 -0.404024349817 0.244788665854
4 0.45 -0.116427104176 0.0577553757888
5 0.45 -0.0217333752058 0.00915294729865
6 0.45 -0.00281772479682 0.00103570741648
7 0.45 -0.000267473181056 8.76080674065e-05
8 0.45 -1.93414735787e-05 5.73557806265e-06
9 0.45 -1.0982519909e-06 2.98548085638e-07
10 0.45 -5.01442215067e-08 1.26206433311e-08
11 0.45 -1.87613701923e-09 4.4076101329e-10
12 0.45 -5.84115506217e-11 1.28957279203e-11
13 0.45 -1.53251252706e-12 3.1976285845e-13
14 0.45 -3.42401120667e-14 6.78486285046e-15
15 0.45 -6.57215889936e-16 1.24196816254e-16
16 0.45 -1.09178519183e-17 1.97476326897e-18
17 0.45 -1.57956864888e-19 2.74332304014e-20
18 0.45 -2.00081497544e-21 3.34603144719e-22
19 0.45 -2.22882393998e-23 3.59809099926e-24
20 0.45 -2.19160356318e-25 3.42298896281e-26
21 0.45 -1.9080989638e-27 2.88913062846e-28
22 0.45 -1.47459234465e-29 2.16846356334e-30
23 0.45 -1.01348629839e-31 1.44987195947e-32
24 0.45 -6.20379105233e-34 8.64677751252e-35
25 0.45 -3.38525609541e-36 4.60332434207e-37
26 0.45 -1.64743346829e-38 2.18836057719e-39
27 0.45 -7.14948967721e-41 9.28797651178e-42
28 0.45 -2.76525222677e-43 3.51706918452e-44
29 0.45 -9.52107988515e-46 1.18675906602e-46
30 0.45 -2.91314967622e-48 3.56178816166e-49
31 0.45 -7.90130770993e-51 9.48426612942e-52
32 0.45 -1.89358270023e-53 2.233230477e-54
33 0.45 -3.99300450506e-56 4.63036824664e-57
34 0.45 -7.36936281605e-59 8.40839486985e-60
35 0.45 -1.18232805126e-61 1.32822127229e-62
36 0.45 -1.63488391324e-64 1.8093934912e-65
37 0.45 -1.92696189653e-67 2.10223515708e-68
38 0.45 -1.90816219108e-70 2.05314322471e-71
39 0.45 -1.5569905548e-73 1.65312603347e-74
40 0.45 -1.0189429869e-76 1.06805520495e-77
41 0.45 -5.13985949112e-80 5.32126900751e-81
42 0.45 -1.87547016469e-83 1.91858030965e-84
43 0.45 -4.40453926593e-87 4.45401864351e-88
44 0.45 -4.99791692707e-91 4.99791692707e-92
45 0.45 0.0 0.0
46 0.45 0.0 0.0
47 0.45 0.0 0.0
48 0.45 0.0 0.0
49 0.45 0.0 0.0

0 0.5 -0.761700582092 0.877166685143
1 0.5 -0.980610301865 1.02582129698
2 0.5 -0.979656408801 0.845767449745
3 0.5 -0.612951682512 0.418413324241
4 0.5 -0.230417525844 0.128075532229
5 0.5 -0.055637721821 0.0260969257994
6 0.5 -0.00925486742401 0.00376942422435
7 0.5 -0.00112045609278 0.000404954420318
8 0.5 -0.000102927956266 3.35627782644e-05
9 0.5 -7.40693061475e-06 2.20751826308e-06
10 0.5 -4.28087002926e-07 1.17823445473e-07
11 0.5 -2.02694139443e-08 5.1955504554e-09
12 0.5 -7.99033365959e-10 1.92076814742e-10
13 0.5 -2.65746569626e-11 6.02620139084e-12
14 0.5 -7.53973279899e-13 1.62093643602e-13
15 0.5 -1.8419494289e-14 3.77040887907e-15
16 0.5 -3.90542925538e-16 7.64016850146e-17
17 0.5 -7.23540134367e-18 1.35719667964e-18
18 0.5 -1.17807684135e-19 2.12498693877e-20
19 0.5 -1.69418630825e-21 2.94620825196e-22
20 0.5 -2.16112360035e-23 3.63162211819e-24
21 0.5 -2.45424104373e-25 3.99351574374e-26
22 0.5 -2.48901121579e-27 3.92910663847e-28
23 0.5 -2.26021598245e-29 3.4672260486e-30
24 0.5 -1.84176851805e-31 2.74981479795e-32
25 0.5 -1.34912432695e-33 1.96322465733e-34
26 0.5 -8.89614825686e-36 1.2633754061e-36
27 0.5 -5.28597024146e-38 7.33475043131e-39
28 0.5 -2.83205373325e-40 3.84388343238e-41
29 0.5 -1.36853552184e-42 1.81875851116e-43
30 0.5 -5.96419467546e-45 7.76839191118e-46
31 0.5 -2.34307118882e-47 2.99368714577e-48
32 0.5 -8.29043452457e-50 1.03990827798e-50
33 0.5 -2.63849491299e-52 3.25163960399e-53
34 0.5 -7.5394567827e-55 9.13534035728e-56
35 0.5 -1.92977983018e-57 2.3004963652e-58
36 0.5 -4.41126783266e-60 5.17701047218e-61
37 0.5 -8.97195761904e-63 1.03719643394e-63
38 0.5 -1.61610449425e-65 1.84137721896e-66
39 0.5 -2.56342261695e-68 2.8801863953e-69
40 0.5 -3.55502972534e-71 3.94080976661e-72
41 0.5 -4.27223350626e-74 4.67457471013e-75
42 0.5 -4.39862678292e-77 4.7527096554e-78
43 0.5 -3.82317445707e-80 4.08100760585e-81
44 0.5 -2.75064077631e-83 2.90181013103e-84
45 0.5 -1.59406111923e-86 1.66263115477e-87
46 0.5 -7.14962541312e-90 7.37540639039e-91
47 0.5 -2.32861467697e-93 2.37662328031e-94
48 0.5 -4.89933304171e-97 4.94881241929e-98
49 0.5 -4.99791692707e-101 4.99791692707e-102

0 0.55 -0.583828935883 0.742315704099
1 0.55 -0.887211144973 0.980612155435
2 0.55 -1.03220216104 0.98619642076
3 0.55 -0.817305398609 0.624655277882
4 0.55 -0.394848164749 0.244686513008
5 0.55 -0.121579649076 0.0631864254357
6 0.55 -0.0255455695233 0.0114664926853
7 0.55 -0.00387783912592 0.00153786379802
8 0.55 -0.000444345902004 0.000158422916853
9 0.55 -3.97470888908e-05 1.29138710642e-05
10 0.55 -2.84920820839e-06 8.52728328622e-07
11 0.55 -1.67121005342e-07 4.64783618109e-08
12 0.55 -8.15756142636e-09 2.12348696528e-09
13 0.55 -3.36007983115e-10 8.23641333907e-11
14 0.55 -1.18150629468e-11 2.74131198227e-12
15 0.55 -3.58154105982e-13 7.90036061899e-14
16 0.55 -9.43779997881e-15 1.9868711354e-15
17 0.55 -2.17742891648e-16 4.38960133131e-17
18 0.55 -4.42557433275e-18 8.56883016803e-19
19 0.55 -7.96655823148e-20 1.48538297686e-20
20 0.55 -1.27604672654e-21 2.29653825433e-22
21 0.55 -1.82605919455e-23 3.17893317269e-24
22 0.55 -2.34285318875e-25 3.95277509813e-26
23 0.55 -2.70324461633e-27 4.42778843512e-28
24 0.55 -2.81244332631e-29 4.47936712467e-30
25 0.55 -2.64439086659e-31 4.10126604009e-32
26 0.55 -2.25137071422e-33 3.40466931079e-34
27 0.55 -1.73838264094e-35 2.56648803156e-36
28 0.55 -1.21895534889e-37 1.75888354788e-38
29 0.55 -7.76992316485e-40 1.09691869088e-40
30 0.55 -4.50561170529e-42 6.22931342246e-43
31 0.55 -2.37794308488e-44 3.22260757475e-45
32 0.55 -1.14246558349e-46 1.5189129424e-47
33 0.55 -4.99620987951e-49 6.52160311555e-50
34 0.55 -1.9880633784e-51 2.54968248978e-52
35 0.55 -7.1930875428e-54 9.07009222502e-55
36 0.55 -2.36405429093e-56 2.93274532837e-57
37 0.55 -7.04795020452e-59 8.60723485662e-60
38 0.55 -1.90267928406e-61 2.28875013126e-62
39 0.55 -4.64093317774e-64 5.5017901256e-65
40 0.55 -1.01999484914e-66 1.19229450065e-67
41 0.55 -2.01325084045e-69 2.32155644697e-70
42 0.55 -3.55424574354e-72 4.04503638935e-73
43 0.55 -5.58483028565e-75 6.27575681928e-76
44 0.55 -7.76387024034e-78 8.61774216552e-79
45 0.55 -9.47867098203e-81 1.03965880109e-81
46 0.55 -1.00700896645e-83 1.09185670908e-84
47 0.55 -9.20246407858e-87 9.86684702704e-88
48 0.55 -7.1263536402e-90 7.55839168379e-91
49 0.55 -4.58458325635e-93 4.81406834082e-94

0 0.6 -0.365716423357 0.565311875251
1 0.6 -0.753212740238 0.876893669058
2 0.6 -0.996520441205 1.03721903169
3 0.6 -0.97077775466 0.825647291637
4 0.6 -0.594957861809 0.40950138427
5 0.6 -0.231174969942 0.132617803797
6 0.6 -0.0606551501241 0.0298815227601
7 0.6 -0.0113976132658 0.00493801260961
8 0.6 -0.00160633894009 0.000623344967424
9 0.6 -0.00017593803892 6.2027247898e-05
10 0.6 -1.53951030714e-05 4.98691317951e-06
11 0.6 -1.10007427953e-06 3.30410090952e-07
12 0.6 -6.53380908549e-08 1.83330475981e-08
13 0.6 -3.27289703783e-09 8.63293528771e-10
14 0.6 -1.39953656591e-10 3.48878710847e-11
15 0.6 -5.16135642708e-12 1.22150750153e-12
16 0.6 -1.65598830378e-13 3.73547469663e-14
17 0.6 -4.65714263923e-15 1.00476240506e-15
18 0.6 -1.15549738533e-16 2.39160533578e-17
19 0.6 -2.54366352857e-18 5.06442284262e-19
20 0.6 -4.9927314277e-20 9.58530923882e-21
21 0.6 -8.77583329834e-22 1.6281531507e-22
22 0.6 -1.38664985254e-23 2.49093601857e-24
23 0.6 -1.97620425528e-25 3.44339890786e-26
24 0.6 -2.54780753426e-27 4.31304469692e-28
25 0.6 -2.9791900378e-29 4.90703609062e-30
26 0.6 -3.16674376321e-31 5.08190481359e-32
27 0.6 -3.06597753151e-33 4.79973288252e-34
28 0.6 -2.70836138554e-35 4.14084950812e-36
29 0.6 -2.18603135213e-37 3.26766067245e-38
30 0.6 -1.61415595696e-39 2.36131217214e-40
31 0.6 -1.09144711183e-41 1.56400284182e-42
32 0.6 -6.76334869649e-44 9.50158402324e-45
33 0.6 -3.84294078029e-46 5.29718595112e-47
34 0.6 -2.0028914712e-48 2.71088952023e-49
35 0.6 -9.57633988323e-51 1.27359714774e-51
36 0.6 -4.20003166063e-53 5.49224484743e-54
37 0.6 -1.68920215075e-55 2.17326865149e-56
38 0.6 -6.22658409384e-58 7.88624309852e-59
39 0.6 -2.10189866951e-60 2.6221665486e-61
40 0.6 -6.49089531076e-63 7.98008898802e-64
41 0.6 -1.83120535121e-65 2.21977528883e-66
42 0.6 -4.71167042719e-68 5.63402253159e-69
43 0.6 -1.10337394929e-70 1.30205847635e-71
44 0.6 -2.34585093905e-73 2.73309601546e-74
45 0.6 -4.51453645204e-76 5.19502816478e-77
46 0.6 -7.83632744401e-79 8.90989698162e-80
47 0.6 -1.22164675908e-81 1.37292980115e-82
48 0.6 -1.70171543499e-84 1.89095869069e-85
49 0.6 -2.10497088296e-87 2.316035405e-88

0 0.65 -0.120777194079 0.348475519825
1 0.65 -0.58272940193 0.73423755015
2 0.65 -0.893804476406 0.997178335971
3 0.65 -1.03891098306 0.976368778848
4 0.65 -0.797191497127 0.607610130491
5 0.65 -0.387830950133 0.244929605254
6 0.65 -0.126024981511 0.0679348022708
7 0.65 -0.0290343555723 0.0136958328793
8 0.65 -0.00497891510956 0.00209528564756
9 0.65 -0.000659886617454 0.000251491217536
10 0.65 -6.96003865461e-05 2.43079659546e-05
11 0.65 -5.97849007054e-06 1.93172719957e-06
12 0.65 -4.26071565115e-07 1.28363520228e-07
13 0.65 -2.55798250454e-08 7.23241180935e-09
14 0.65 -1.31019477461e-09 3.49568466896e-10
